grade,car_model,car_use_cond,price,mileage,year,car_id,car_location,indi_car_link,car_type,fuel_type,gear_type
A,Suzuki Baleno 2019,New,"₦ 7,300,000",Mileage:  1 Km,Year: 2019,Car ID: NG-441662,SUZUKI Special Centre,https://buy.cars45.com/cars/suzuki-baleno-2019-hatchback-ng-441662?filter=,Hatchback,Petrol,automatic
E,1997 Volkswagen Golf,Nigerian Used,"₦ 451,000",Mileage:  1 Km,Year: 1997,Car ID: NG-445897,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/volkswagen-golf-1997-automatic-ng-445897?filter=,Sedan,Petrol,automatic
C,2008 Toyota Highlander,Nigerian Used,"₦ 3,861,000","Mileage:  105,087 Km",Year: 2008,Car ID: NG-445833,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-highlander-2008-automatic-ng-445833?filter=,Suv,Petrol,automatic
D,1999 Lexus Rx 300,Nigerian Used,"₦ 836,000","Mileage:  110,663 Km",Year: 1999,Car ID: NG-445684,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/lexus-rx-300-1999-suv-ng-445684?filter=,Suv,Petrol,automatic
C,2010 Nissan Murano,Foreign Used,"₦ 1,771,000","Mileage:  171,469 Km",Year: 2010,Car ID: NG-445621,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-murano-2010-automatic-ng-445621?filter=,Suv,Petrol,automatic
E,2003 Honda Pilot,Nigerian Used,"₦ 946,000","Mileage:  168,436 Km",Year: 2003,Car ID: NG-445844,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-pilot-2003-automatic-ng-445844?filter=,Suv,Petrol,automatic
E,2010 Mercedes-Benz E350,Foreign Used,"₦ 3,861,000","Mileage:  124,858 Km",Year: 2010,Car ID: NG-445785,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mercedes-benz-e350-2010-automatic-ng-445785?filter=,Sedan,Petrol,automatic
D,2010 Toyota Camry,Nigerian Used,"₦ 1,331,000","Mileage:  79,809 Km",Year: 2010,Car ID: NG-445836,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2010-automatic-ng-445836?filter=,Sedan,Petrol,automatic
C,2002 Toyota Camry,Nigerian Used,"₦ 1,001,000","Mileage:  112,517 Km",Year: 2002,Car ID: NG-445864,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2002-automatic-ng-445864?filter=,Sedan,Petrol,automatic
D,2002 Ford Explorer,Nigerian Used,"₦ 451,000","Mileage:  150,412 Km",Year: 2002,Car ID: NG-445841,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/ford-explorer-2002-automatic-ng-445841?filter=,About,Us,Terms
C,2010 Toyota Corolla,Foreign Used,"₦ 2,211,000","Mileage:  87,321 Km",Year: 2010,Car ID: NG-445750,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2010-automatic-ng-445750?filter=,Sedan,Petrol,automatic
D,2005 Honda Odyssey,Foreign Used,"₦ 891,000","Mileage:  219,998 Km",Year: 2005,Car ID: NG-445849,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-odyssey-2005-automatic-ng-445849?filter=,Mpv,Petrol,automatic
C,2006 Hyundai Sonata,Nigerian Used,"₦ 1,276,000","Mileage:  49,832 Km",Year: 2006,Car ID: NG-445386,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/hyundai-sonata-2006-automatic-ng-445386?filter=,Sedan,Petrol,automatic
D,1996 Volkswagen Golf,Nigerian Used,"₦ 781,000",Year: 1996,Car ID: NG-445806,"Abuja - SNB
                                                                                                                        , Abuja","Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/volkswagen-golf-1996-manual-ng-445806?filter=,Hatchback,Petrol,manual
D,2017 Honda Accord,Foreign Used,"₦ 6,611,000","Mileage:  68,624 Km",Year: 2017,Car ID: NG-445851,"Kano - SNB
                                                                                                                        , Kano",https://buy.cars45.com/cars/honda-accord-2017-2-4l-l4-dohc-16v-ng-445851?filter=,Sedan,Petrol,automatic
E,1998 Honda Accord,Nigerian Used,"₦ 616,000","Mileage:  217,435 Km",Year: 1998,Car ID: NG-445872,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-accord-1998-automatic-ng-445872?filter=,Sedan,Petrol,automatic
C,2007 Infiniti G35,Foreign Used,"₦ 1,771,000","Mileage:  207,602 Km",Year: 2007,Car ID: NG-445615,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/infiniti-g35-2007-automatic-ng-445615?filter=,Sedan,Petrol,automatic
E,1997 Toyota Tacoma,Nigerian Used,"₦ 1,331,000","Mileage:  249,732 Km",Year: 1997,Car ID: NG-445598,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-tacoma-1997-manual-ng-445598?filter=,Pickup,Petrol,manual
D,2000 Nissan Pathfinder,Nigerian Used,"₦ 671,000","Mileage:  225,643 Km",Year: 2000,Car ID: NG-445711,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-pathfinder-2000-automatic-ng-445711?filter=,Suv,Petrol,automatic
E,2001 Toyota Sienna,Nigerian Used,"₦ 561,000","Mileage:  179,240 Km",Year: 2001,Car ID: NG-445528,"Port Harcourt - SNB
                                                                                                                        , Port Harcourt",https://buy.cars45.com/cars/toyota-sienna-2001-automatic-ng-445528?filter=,Mpv,Petrol,automatic
D,2005 Honda Accord,Foreign Used,"₦ 1,111,000","Mileage:  192,518 Km",Year: 2005,Car ID: NG-445832,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-accord-2005-automatic-ng-445832?filter=,Sedan,Petrol,automatic
C,2011 Mercedes-Benz E350,Nigerian Used,"₦ 4,631,000","Mileage:  77,671 Km",Year: 2011,Car ID: NG-445859,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mercedes-benz-e350-2011-automatic-ng-445859?filter=,Sedan,Petrol,automatic
D,2005 Lexus Gx,Nigerian Used,"₦ 1,771,000","Mileage:  151,405 Km",Year: 2005,Car ID: NG-445789,"Port Harcourt - SNB
                                                                                                                        , Port Harcourt",https://buy.cars45.com/cars/lexus-gx-2005-automatic-ng-445789?filter=,Suv,Petrol,automatic
C,2008 Toyota Rav4,Foreign Used,"₦ 2,871,000","Mileage:  205,969 Km",Year: 2008,Car ID: NG-445431,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-rav4-2008-automatic-ng-445431?filter=,Suv,Petrol,automatic
D,2005 Infiniti Fx,Nigerian Used,"₦ 1,551,000","Mileage:  100,868 Km",Year: 2005,Car ID: NG-445742,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/infiniti-fx-2005-automatic-ng-445742?filter=,Suv,Petrol,automatic
E,2003 Honda Accord,Nigerian Used,"₦ 341,000","Mileage:  197,556 Km",Year: 2003,Car ID: NG-445776,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-accord-2003-automatic-ng-445776?filter=,About,Us,Terms
E,2008 Hyundai Tucson,Nigerian Used,"₦ 781,000","Mileage:  121,507 Km",Year: 2008,Car ID: NG-445641,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/hyundai-tucson-2008-automatic-ng-445641?filter=,Suv,Petrol,automatic
C,2007 Mazda Cx-7,Nigerian Used,"₦ 1,221,000","Mileage:  139,868 Km",Year: 2007,Car ID: NG-445697,"Port Harcourt - SNB
                                                                                                                        , Port Harcourt",https://buy.cars45.com/cars/mazda-cx-7-2007-automatic-ng-445697?filter=,Mpv,Petrol,automatic
C,2004 Toyota Sequoia,Nigerian Used,"₦ 671,000","Mileage:  243,468 Km",Year: 2004,Car ID: NG-445591,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-sequoia-2004-automatic-ng-445591?filter=,Suv,Petrol,automatic
E,2003 Acura Mdx,Nigerian Used,"₦ 561,000","Mileage:  219,410 Km",Year: 2003,Car ID: NG-445768,"Onitsha - SNB
                                                                                                                        , Onitsha",https://buy.cars45.com/cars/acura-mdx-2003-automatic-ng-445768?filter=,Suv,Petrol,automatic
D,2007 Lexus Rx 350,Nigerian Used,"₦ 1,661,000","Mileage:  180,329 Km",Year: 2007,Car ID: NG-445801,"Kaduna SNB
                                                                                                                        , Kaduna",https://buy.cars45.com/cars/lexus-rx-350-2007-automatic-ng-445801?filter=,Suv,Petrol,automatic
E,2001 Toyota Camry,Nigerian Used,"₦ 616,000","Mileage:  193,636 Km",Year: 2001,Car ID: NG-445508,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2001-automatic-ng-445508?filter=,About,Us,Terms
D,2009 Ford Ranger,Nigerian Used,"₦ 1,221,000","Mileage:  263,642 Km",Year: 2009,Car ID: NG-445574,"Port Harcourt - SNB
                                                                                                                        , Port Harcourt",https://buy.cars45.com/cars/ford-ranger-2009-automatic-ng-445574?filter=,Truck,Petrol,manual
C,2013 Toyota Corolla,Foreign Used,"₦ 3,311,000","Mileage:  66,931 Km",Year: 2013,Car ID: NG-445862,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/toyota-corolla-2013-automatic-ng-445862?filter=,Sedan,Petrol,automatic
D,2005 Toyota Camry,Nigerian Used,"₦ 1,001,000","Mileage:  162,441 Km",Year: 2005,Car ID: NG-445620,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2005-automatic-ng-445620?filter=,About,Us,Terms
C,2002 Peugeot 607,Nigerian Used,"₦ 561,000","Mileage:  347,993 Km",Year: 2002,Car ID: NG-445583,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/peugeot-607-2002-ng-445583?filter=,About,Us,Terms
D,1998 Honda Accord,Nigerian Used,"₦ 286,000","Mileage:  137,097 Km",Year: 1998,Car ID: NG-445707,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-accord-1998-automatic-ng-445707?filter=,About,Us,Terms
E,2003 Honda Accord,Nigerian Used,"₦ 451,000","Mileage:  232,983 Km",Year: 2003,Car ID: NG-445467,"Ibadan - SNB
                                                                                                                        , Ibadan",https://buy.cars45.com/cars/honda-accord-2003-automatic-ng-445467?filter=,Sedan,Petrol,automatic
E,2005 Toyota 4Runner,Foreign Used,"₦ 3,091,000","Mileage:  93,237 Km",Year: 2005,Car ID: NG-445618,"Ibadan - SNB
                                                                                                                        , Ibadan",https://buy.cars45.com/cars/toyota-4runner-2005-automatic-ng-445618?filter=,Suv,Petrol,automatic
C,2013 Ford Edge,Foreign Used,"₦ 3,861,000","Mileage:  92,683 Km",Year: 2013,Car ID: NG-445861,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/ford-edge-2013-automatic-ng-445861?filter=,Mpv,Petrol,automatic
D,2005 Nissan Pathfinder,Nigerian Used,"₦ 1,551,000","Mileage:  112,666 Km",Year: 2005,Car ID: NG-445682,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-pathfinder-2005-ng-445682?filter=,Suv,Petrol,automatic
C,2012 Ford Focus,Nigerian Used,"₦ 1,441,000","Mileage:  124,560 Km",Year: 2012,Car ID: NG-445723,9663ece8-2a97-4a9a-80d2-9a005c5049db,https://buy.cars45.com/cars/ford-focus-2012-automatic-ng-445723?filter=,Sedan,Petrol,automatic
D,2007 Nissan Xterra,Foreign Used,"₦ 1,496,000","Mileage:  239,410 Km",Year: 2007,Car ID: NG-445672,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-xterra-2007-automatic-ng-445672?filter=,Suv,Petrol,automatic
C,2006 Toyota Corolla,Nigerian Used,"₦ 891,000","Mileage:  218,487 Km",Year: 2006,Car ID: NG-445472,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2006-automatic-ng-445472?filter=,About,Us,Terms
C,2011 Honda Accord,Nigerian Used,"₦ 2,211,000","Mileage:  179,087 Km",Year: 2011,Car ID: NG-445713,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/honda-accord-2011-ng-445713?filter=,Sedan,Petrol,automatic
E,2009 Chevrolet Optra,Nigerian Used,"₦ 346,500","Mileage:  151,634 Km",Year: 2009,Car ID: NG-445655,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/chevrolet-optra-2009-automatic-ng-445655?filter=,Sedan,Petrol,manual
D,2003 Toyota Highlander,Nigerian Used,"₦ 1,001,000","Mileage:  180,861 Km",Year: 2003,Car ID: NG-445543,"Port Harcourt - SNB
                                                                                                                        , Port Harcourt",https://buy.cars45.com/cars/toyota-highlander-2003-automatic-ng-445543?filter=,Suv,Petrol,automatic
C,2007 Toyota Avalon,Nigerian Used,"₦ 891,000","Mileage:  178,313 Km",Year: 2007,Car ID: NG-445687,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-avalon-2007-automatic-ng-445687?filter=,About,Us,Terms
C,2010 Toyota Matrix,Nigerian Used,"₦ 2,211,000","Mileage:  126,929 Km",Year: 2010,Car ID: NG-445787,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-matrix-2010-automatic-ng-445787?filter=,Hatchback,Petrol,automatic
E,2001 Nissan Pathfinder,Nigerian Used,"₦ 561,000","Mileage:  173,398 Km",Year: 2001,Car ID: NG-445811,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-pathfinder-2001-automatic-ng-445811?filter=,Mpv,Petrol,automatic
D,1996 Honda Civic,Nigerian Used,"₦ 341,000","Mileage:  193,908 Km",Year: 1996,Car ID: NG-445803,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-civic-1996-automatic-ng-445803?filter=,Sedan,Petrol,automatic
C,2007 Toyota Camry,Nigerian Used,"₦ 1,441,000","Mileage:  139,963 Km",Year: 2007,Car ID: NG-445748,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2007-automatic-ng-445748?filter=,Sedan,Petrol,automatic
E,2012 Toyota Corolla,Nigerian Used,"₦ 1,771,000","Mileage:  155,622 Km",Year: 2012,Car ID: NG-445380,"Onitsha - SNB
                                                                                                                        , Onitsha",https://buy.cars45.com/cars/toyota-corolla-2012-automatic-ng-445380?filter=,Sedan,Petrol,automatic
C,2009 Mercedes-Benz C300,Nigerian Used,"₦ 1,771,000","Mileage:  111,377 Km",Year: 2009,Car ID: NG-445608,"Onitsha - SNB
                                                                                                                        , Onitsha",https://buy.cars45.com/cars/mercedes-benz-c300-2009-automatic-ng-445608?filter=,Sedan,Petrol,automatic
C,2010 Toyota Corolla,Nigerian Used,"₦ 2,431,000","Mileage:  444,302 Km",Year: 2010,Car ID: NG-445743,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/toyota-corolla-2010-ng-445743?filter=,Sedan,Petrol,automatic
C,2005 Lexus Es,Foreign Used,"₦ 2,541,000","Mileage:  71,206 Km",Year: 2005,Car ID: NG-445722,"Benin - SNB
                                                                                                                        , Benin",https://buy.cars45.com/cars/lexus-es-2005-automatic-ng-445722?filter=,Sedan,Petrol,automatic
C,2015 Dodge Journey,Nigerian Used,"₦ 2,211,000","Mileage:  21,878 Km",Year: 2015,Car ID: NG-445462,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/dodge-journey-2015-ng-445462?filter=,Mpv,Petrol,automatic
E,2015 Toyota Highlander,Nigerian Used,"₦ 5,511,000","Mileage:  2,084 Km",Year: 2015,Car ID: NG-445729,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-highlander-2015-automatic-ng-445729?filter=,About,Us,Terms
E,2002 Toyota Sienna,Nigerian Used,"₦ 891,000","Mileage:  135,115 Km",Year: 2002,Car ID: NG-445388,"Kaduna SNB
                                                                                                                        , Kaduna",https://buy.cars45.com/cars/toyota-sienna-2002-automatic-v6-ng-445388?filter=,Mpv,Petrol,automatic
D,2007 Hyundai Elantra,Nigerian Used,"₦ 891,000","Mileage:  215,006 Km",Year: 2007,Car ID: NG-445480,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/hyundai-elantra-2007-automatic-ng-445480?filter=,Sedan,Petrol,automatic
E,2000 Toyota 4Runner,Nigerian Used,"₦ 671,000","Mileage:  260,983 Km",Year: 2000,Car ID: NG-445503,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-4runner-2000-ng-445503?filter=,Suv,Petrol,automatic
C,2009 Mercedes-Benz C300,Nigerian Used,"₦ 1,551,000","Mileage:  70,066 Km",Year: 2009,Car ID: NG-445391,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mercedes-benz-c300-2009-automatic-ng-445391?filter=,Sedan,Petrol,automatic
D,1995 Toyota Carina,Nigerian Used,"₦ 341,000","Mileage:  183,586 Km",Year: 1995,Car ID: NG-445492,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-carina-1995-manual-ng-445492?filter=,Sedan,Petrol,manual
E,2004 Peugeot 307,Foreign Used,"₦ 1,331,000","Mileage:  101,290 Km",Year: 2004,Car ID: NG-441809,"Kano - SNB
                                                                                                                        , Kano",https://buy.cars45.com/cars/peugeot-307-2004-1-6l-l4-dohc-fwd-ng-441809?filter=,Hatchback,Petrol,manual
A,Suzuki Swift 2019,New,"₦ 7,100,000",Mileage:  1 Km,Year: 2019,Car ID: NG-445478,SUZUKI Special Centre,https://buy.cars45.com/cars/suzuki-swift-2019-hatchback-ng-445478?filter=,Petrol,manual,
C,2003 Toyota Avalon,Foreign Used,"₦ 1,441,000","Mileage:  203,574 Km",Year: 2003,Car ID: NG-441835,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-avalon-2003-automatic-ng-441835?filter=,Sedan,Petrol,automatic
D,2011 Toyota Yaris,Nigerian Used,"₦ 891,000","Mileage:  63,339 Km",Year: 2011,Car ID: NG-443879,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-yaris-2011-manual-ng-443879?filter=,Sedan,Petrol,manual
D,Toyota Corolla 2003,Nigerian Used,"₦ 1,056,000","Mileage:  124,364 Km",Year: 2003,Car ID: NG-443709,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2003-automatic-ng-443709?filter=,Sedan,Petrol,automatic
D,2000 Lexus Es,Nigerian Used,"₦ 836,000","Mileage:  196,960 Km",Year: 2000,Car ID: NG-443848,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/lexus-es-2000-automatic-ng-443848?filter=,Sedan,Petrol,automatic
E,Lexus Rx 350 2007,Nigerian Used,"₦ 2,211,000","Mileage:  253,409 Km",Year: 2007,Car ID: NG-444123,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/lexus-rx-350-2007-automatic-ng-444123?filter=,Suv,Petrol,automatic
D,2006 Land Rover Lr3,Nigerian Used,"₦ 671,000","Mileage:  190,866 Km",Year: 2006,Car ID: NG-443623,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/land-rover-lr3-2006-automatic-ng-443623?filter=,About,Us,Terms
C,2007 Toyota 4Runner,Nigerian Used,"₦ 2,431,000","Mileage:  76,500 Km",Year: 2007,Car ID: NG-443978,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-4runner-2007-automatic-ng-443978?filter=,Mpv,Petrol,automatic
D,2005 Nissan Xterra,Nigerian Used,"₦ 781,000","Mileage:  80,417 Km",Year: 2005,Car ID: NG-443913,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-xterra-2005-automatic-ng-443913?filter=,Suv,Petrol,automatic
D,2008 Honda Accord,Nigerian Used,"₦ 1,111,000","Mileage:  171,626 Km",Year: 2008,Car ID: NG-443816,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-accord-2008-automatic-ng-443816?filter=,Sedan,Petrol,automatic
C,2004 Toyota Corolla,Nigerian Used,"₦ 1,331,000","Mileage:  211,309 Km",Year: 2004,Car ID: NG-444017,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2004-automatic-ng-444017?filter=,About,Us,Terms
E,2009 Ford Explorer,Foreign Used,"₦ 2,541,000","Mileage:  163,490 Km",Year: 2009,Car ID: NG-443827,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/ford-explorer-2009-automatic-ng-443827?filter=,Truck,Petrol,automatic
E,1991 Toyota Corolla,Nigerian Used,"₦ 286,000","Mileage:  365,988 Km",Year: 1991,Car ID: NG-443969,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/toyota-corolla-1991-automatic-ng-443969?filter=,Sedan,Petrol,automatic
C,2014 Kia Cerato,Nigerian Used,"₦ 2,431,000","Mileage:  36,535 Km",Year: 2014,Car ID: NG-443607,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/kia-cerato-2014-automatic-ng-443607?filter=,Sedan,Petrol,automatic
D,2003 Mercedes-Benz E320,Nigerian Used,"₦ 1,056,000","Mileage:  222,597 Km",Year: 2003,Car ID: NG-443971,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/mercedes-benz-e320-2003-automatic-ng-443971?filter=,Sedan,Petrol,automatic
D,2009 Toyota Corolla,Nigerian Used,"₦ 1,331,000","Mileage:  181,974 Km",Year: 2009,Car ID: NG-444099,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2009-automatic-ng-444099?filter=,Sedan,Petrol,automatic
D,2006 Honda Accord,Nigerian Used,"₦ 561,000","Mileage:  83,838 Km",Year: 2006,Car ID: NG-443938,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-accord-2006-automatic-ng-443938?filter=,About,Us,Terms
D,2006 Toyota Camry,Nigerian Used,"₦ 1,111,000","Mileage:  189,067 Km",Year: 2006,Car ID: NG-444024,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2006-automatic-ng-444024?filter=,Sedan,Petrol,automatic
C,2004 Pontiac Vibe,Foreign Used,"₦ 1,661,000","Mileage:  182,624 Km",Year: 2004,Car ID: NG-443891,"Kano - SNB
                                                                                                                        , Kano",https://buy.cars45.com/cars/pontiac-vibe-2004-1-8l-l4-dohc-16v-ng-443891?filter=,Hatchback,Petrol,automatic
C,2007 Lexus Es 350,Nigerian Used,"₦ 2,211,000","Mileage:  65,812 Km",Year: 2007,Car ID: NG-444079,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/lexus-es-350-2007-automatic-ng-444079?filter=,Sedan,Petrol,automatic
E,2010 Acura Tsx,Nigerian Used,"₦ 1,881,000","Mileage:  125,419 Km",Year: 2010,Car ID: NG-444040,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/acura-tsx-2010-automatic-ng-444040?filter=,Sedan,Petrol,automatic
D,2009 Toyota Avensis,Nigerian Used,"₦ 1,221,000","Mileage:  116,756 Km",Year: 2009,Car ID: NG-444087,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-avensis-2009-ng-444087?filter=,Sedan,Petrol,automatic
D,2004 Honda Accord,Nigerian Used,"₦ 726,000","Mileage:  306,601 Km",Year: 2004,Car ID: NG-444029,"Kano - SNB
                                                                                                                        , Kano",https://buy.cars45.com/cars/honda-accord-2004-2-4l-l4-dohc-16v-fwd-ng-444029?filter=,Sedan,Petrol,automatic
C,2009 Honda City,Nigerian Used,"₦ 890,000","Mileage:  118,907 Km",Year: 2009,Car ID: NG-443626,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-city-2009-manual-ng-443626?filter=,Sedan,Petrol,manual
C,2010 Honda Accord Crosstour,Nigerian Used,"₦ 2,211,000","Mileage:  71,256 Km",Year: 2010,Car ID: NG-443764,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/honda-accord-crosstour-2010-automatic-ng-443764?filter=,Suv,Petrol,automatic
C,2008 BMW 5 Series,Nigerian Used,"₦ 1,881,000","Mileage:  219,463 Km",Year: 2008,Car ID: NG-444080,Sango-Ota -SNB,https://buy.cars45.com/cars/bmw-5-series-2008-automatic-ng-444080?filter=,Sedan,Petrol,automatic
C,2003 Toyota 4Runner,Nigerian Used,"₦ 1,331,000","Mileage:  147,500 Km",Year: 2003,Car ID: NG-443983,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-4runner-2003-automatic-ng-443983?filter=,Suv,Petrol,automatic
D,2012 Hyundai Elantra,Nigerian Used,"₦ 1,111,000","Mileage:  62,028 Km",Year: 2012,Car ID: NG-444054,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/hyundai-elantra-2012-automatic-ng-444054?filter=,Sedan,Petrol,automatic
C,2005 Toyota Sienna,Nigerian Used,"₦ 1,331,000","Mileage:  73,330 Km",Year: 2005,Car ID: NG-443696,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-sienna-2005-automatic-ng-443696?filter=,Mpv,Petrol,automatic
E,2006 Mercedes-Benz R350,Nigerian Used,"₦ 781,000","Mileage:  82,595 Km",Year: 2006,Car ID: NG-443900,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mercedes-benz-r350-2006-automatic-ng-443900?filter=,About,Us,Terms
C,2008 BMW X6,Nigerian Used,"₦ 9,911,000","Mileage:  49,598 Km",Year: 2008,Car ID: NG-444007,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/bmw-x6-2008-ng-444007?filter=,Hatchback,Petrol,automatic
C,1999 Mercedes-Benz S320,Nigerian Used,"₦ 1,991,000","Mileage:  188,250 Km",Year: 1999,Car ID: NG-444059,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/mercedes-benz-s320-1999-ng-444059?filter=,Sedan,Petrol,automatic
C,2004 Toyota Solara,Nigerian Used,"₦ 1,111,000","Mileage:  169,525 Km",Year: 2004,Car ID: NG-443777,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-solara-2004-automatic-ng-443777?filter=,Coupe,Petrol,automatic
D,2010 Honda Accord,Nigerian Used,"₦ 1,221,000","Mileage:  157,810 Km",Year: 2010,Car ID: NG-444055,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-accord-2010-automatic-ng-444055?filter=,Sedan,Petrol,automatic
D,1999 Lexus Rx 300,Nigerian Used,"₦ 1,111,000","Mileage:  184,626 Km",Year: 1999,Car ID: NG-443803,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/lexus-rx-300-1999-automatic-ng-443803?filter=,Suv,Petrol,automatic
