grade,car_model,car_use_cond,price,mileage,year,car_id,car_location,indi_car_link,car_type,fuel_type,gear_type
,1999 Toyota Solara,Nigerian Used,"₦ 561,000","Mileage:  235,866 Km",Year: 1999,Car ID: NG-426413,"Port Harcourt - SNB
                                                                                                                        , Port Harcourt",https://buy.cars45.com/cars/toyota-solara-1999-automatic-ng-426413?filter=,Coupe,Petrol,automatic
C,2009 Honda Pilot,Nigerian Used,"₦ 2,210,000","Mileage:  100,023 Km",Year: 2009,Car ID: NG-426514,"Port Harcourt - SNB
                                                                                                                        , Port Harcourt",https://buy.cars45.com/cars/honda-pilot-2009-automatic-ng-426514?filter=,Suv,Petrol,automatic
C,2013 Toyota Avensis,Nigerian Used,"₦ 1,771,000","Mileage:  95,857 Km",Year: 2013,Car ID: NG-426606,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-avensis-2013-automatic-ng-426606?filter=,Sedan,Petrol,automatic
C,2002 Toyota Highlander,Foreign Used,"₦ 2,541,000","Mileage:  73,719 Km",Year: 2002,Car ID: NG-426429,"Onitsha - SNB
                                                                                                                        , Onitsha",https://buy.cars45.com/cars/toyota-highlander-2002-automatic-ng-426429?filter=,Suv,Petrol,automatic
E,2001 Infiniti Qx,Foreign Used,"₦ 1,496,000","Mileage:  190,486 Km",Year: 2001,Car ID: NG-426447,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/infiniti-qx-2001-automatic-ng-426447?filter=,Suv,Petrol,automatic
C,2011 Nissan Altima,Foreign Used,"₦ 1,441,000","Mileage:  227,923 Km",Year: 2011,Car ID: NG-426469,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-altima-2011-automatic-ng-426469?filter=,Sedan,Petrol,automatic
D,1998 Honda Accord,Nigerian Used,"₦ 341,000","Mileage:  280,042 Km",Year: 1998,Car ID: NG-426383,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-accord-1998-automatic-ng-426383?filter=,Sedan,Petrol,automatic
C,2005 Acura Mdx,Foreign Used,"₦ 2,871,000","Mileage:  154,035 Km",Year: 2005,Car ID: NG-426501,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/acura-mdx-2005-automatic-ng-426501?filter=,Suv,Petrol,automatic
E,2004 Toyota Avensis,Nigerian Used,"₦ 781,000","Mileage:  174,626 Km",Year: 2004,Car ID: NG-426476,"Ibadan - SNB
                                                                                                                        , Ibadan",https://buy.cars45.com/cars/toyota-avensis-2004-manual-ng-426476?filter=,Sedan,Petrol,manual
C,2010 Pontiac Vibe,Foreign Used,"₦ 2,211,000","Mileage:  93,275 Km",Year: 2010,Car ID: NG-426421,"Kano - SNB
                                                                                                                        , Kano",https://buy.cars45.com/cars/pontiac-vibe-2010-automatic-ng-426421?filter=,Hatchback,Petrol,automatic
